index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
15,2,2,10,1,7,10,2,1,6,2017-12-16T00:00:00,5,1,1800
483,3,2,10,1,7,10,3,2,6,2018-03-30T00:00:00,4,3,1400
148,3,2,10,1,6,10,2,2,2,2018-04-28T00:00:00,4,7,1800
499,3,2,21,1,4,10,3,2,2,2018-04-15T00:00:00,4,7,1400
229,3,2,21,1,6,10,3,2,7,2018-01-17T00:00:00,2,8,1400
25,3,2,21,1,5,10,3,2,7,2017-12-26T00:00:00,7,3,1800
250,3,2,21,1,6,10,2,1,7,2018-02-07T00:00:00,4,7,1400
381,2,2,10,1,7,10,2,0,0,2017-12-18T00:00:00,5,8,1400
545,3,1,21,1,2,20,1,0,0,2018-05-31T00:00:00,4,3,1400
4,3,2,21,1,5,10,2,2,4,2017-12-05T00:00:00,7,7,1800
497,3,2,10,1,7,10,3,2,2,2018-04-13T00:00:00,6,3,1400
389,3,2,21,1,5,10,3,0,0,2017-12-26T00:00:00,6,4,1400
527,3,2,21,1,2,20,1,0,0,2018-05-13T00:00:00,4,3,1400
319,3,2,22,1,2,20,2,2,7,2018-04-17T00:00:00,2,6,1400
307,3,2,21,2,7,10,2,2,5,2018-04-05T00:00:00,4,8,1400
75,3,3,21,1,5,10,2,2,7,2018-02-14T00:00:00,6,5,1800
479,3,1,10,2,6,10,2,2,7,2018-03-26T00:00:00,4,3,1400
312,3,3,21,1,6,10,2,2,2,2018-04-10T00:00:00,4,3,1400
541,3,1,21,1,2,20,1,0,0,2018-05-27T00:00:00,4,4,1400
398,3,3,21,1,6,10,2,0,0,2018-01-04T00:00:00,5,2,1400
367,3,2,10,1,6,10,1,0,0,2017-12-04T00:00:00,5,8,1400
235,3,3,21,1,5,10,2,2,7,2018-01-23T00:00:00,5,4,1400
